City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
arraial do cabo,100,BR,1569735530,85,-22.97,-42.02,67.3,10.98
san juan,40,US,1569735531,83,26.19,-98.16,84.2,10.29
bredasdorp,100,ZA,1569735531,96,-34.53,20.04,57.99,7
hobart,75,AU,1569735531,50,-42.88,147.33,55.4,14.99
hasaki,75,JP,1569735531,83,35.73,140.83,86.0,10.29
vyborg,0,RU,1569735532,100,60.71,28.74,46.99,5.82
longyearbyen,75,SJ,1569735532,68,78.22,15.64,28.4,23.04
malindi,100,KE,1569735532,70,-3.22,40.12,79.72,11.52
ushuaia,90,AR,1569735533,100,-54.81,-68.31,37.4,2.95
jamestown,100,SH,1569735533,84,-15.94,-5.72,65.12,14.09
tasiilaq,0,GL,1569735540,60,65.61,-37.64,41.0,1.12
butaritari,88,KI,1569735540,67,3.07,172.79,84.92,7.52
khatanga,60,RU,1569735541,53,71.98,102.47,35.1,6.04
hilo,90,US,1569735541,78,19.71,-155.08,80.6,6.93
yellowknife,75,CA,1569735541,79,62.45,-114.38,32.0,4.7
rikitea,6,PF,1569735541,86,-23.12,-134.97,71.66,10.51
markala,6,ML,1569735542,78,13.69,-6.07,75.69,4.23
ondo,94,NG,1569735542,97,7.1,4.83,71.46,0.45
campbellsville,1,US,1569735542,73,37.34,-85.34,75.2,3.22
bethel,90,US,1569735543,100,60.79,-161.76,48.2,6.93
cayenne,75,GF,1569735543,94,4.94,-52.33,77.0,5.08
palana,96,RU,1569735543,62,59.08,159.95,43.49,3.67
atuona,0,PF,1569735544,76,-9.8,-139.03,79.83,12.75
znamensk,75,RU,1569735544,93,54.62,21.23,64.0,8.95
karaj,20,IR,1569735544,63,35.81,51.01,73.4,20.8
ovalle,1,CL,1569735545,93,-30.6,-71.2,43.99,0.2
hermanus,100,ZA,1569735246,96,-34.42,19.24,62.01,7
ixtapa,90,MX,1569735545,84,20.71,-105.21,86.0,6.71
ilulissat,0,GL,1569735546,69,69.22,-51.1,35.6,1.12
kupang,1,ID,1569735546,75,-10.16,123.6,79.13,9.84
nikolskoye,75,RU,1569735546,93,59.7,30.79,44.01,6.71
shimoda,75,JP,1569735546,83,34.7,138.93,80.6,5.82
east london,75,ZA,1569735547,93,-33.02,27.91,62.6,4.7
kjollefjord,99,NO,1569735547,68,70.95,27.35,36.59,7.54
cherskiy,97,RU,1569735547,74,68.75,161.3,32.65,7.56
zabaykalsk,66,RU,1569735548,25,49.63,117.32,58.63,14.74
uhlove,36,UA,1569735548,74,44.82,33.6,64.85,10.69
tuktoyaktuk,75,CA,1569735548,86,69.44,-133.03,33.8,4.7
luancheng,0,CN,1569735549,35,37.88,114.65,87.8,2.24
san ramon,7,BO,1569735549,59,-13.27,-64.62,80.23,4.63
saint george,75,BM,1569735549,78,32.38,-64.68,78.01,12.75
avarua,20,CK,1569735549,78,-21.21,-159.78,71.6,6.93
victoria,40,SC,1569735550,83,-4.62,55.45,82.4,4.7
dhidhdhoo,99,MV,1569735550,67,6.88,73.1,83.32,7.49
busselton,0,AU,1569735550,45,-33.64,115.35,81.0,4
punta arenas,20,CL,1569735551,86,-53.16,-70.91,37.4,12.75
novyy urengoy,71,RU,1569735551,74,66.08,76.63,35.32,1.52
kuminskiy,48,RU,1569735551,72,58.67,66.57,37.12,8.52
bauchi,100,NG,1569735552,81,10.31,9.85,72.9,4.88
misratah,0,LY,1569735552,74,32.38,15.09,76.99,8.46
qaanaaq,0,GL,1569735612,58,77.48,-69.36,31.77,9.71
clyde river,90,CA,1569735613,100,70.47,-68.59,35.6,13.87
hangu,0,CN,1569735613,33,39.25,117.8,87.8,8.95
carnot,100,CF,1569735613,96,4.94,15.87,69.01,1.74
lebu,87,CL,1569735614,95,-37.62,-73.65,52.78,4.85
kapaa,1,US,1569735614,83,22.08,-159.32,82.4,12.75
castro,75,CL,1569735614,87,-42.48,-73.76,44.6,6.93
carnarvon,9,AU,1569735574,69,-24.87,113.63,73.4,16.11
uige,100,AO,1569735615,96,-7.61,15.06,67.57,3.44
fortuna,40,US,1569735615,87,40.6,-124.16,52.0,16.06
leningradskiy,99,RU,1569735615,77,69.38,178.42,36.92,4.45
cidreira,0,BR,1569735616,84,-30.17,-50.22,60.39,11.54
temir,0,KZ,1569735616,51,49.14,57.13,45.25,5.77
georgetown,100,SH,1569735616,77,-7.93,-14.42,71.42,14.88
pisco,90,PE,1569735617,82,-13.71,-76.2,62.6,3.36
faanui,19,PF,1569735617,84,-16.48,-151.75,78.16,20.13
severo-kurilsk,85,RU,1569735617,94,50.68,156.12,49.97,6.08
torbay,90,CA,1569735618,100,47.66,-52.73,50.0,5.82
albany,0,AU,1569735618,60,-35.02,117.88,69.8,11.41
tiksi,43,RU,1569735483,68,71.64,128.87,31.37,8.99
hovd,24,MN,1569735440,29,48.01,91.64,60.71,1.05
kongolo,83,CD,1569735619,75,-5.39,27,75.4,3.36
sioux lookout,90,CA,1569735619,100,50.1,-91.92,39.2,1.59
ngunguru,96,NZ,1569735619,74,-35.62,174.5,60.01,7
nambucca heads,32,AU,1569735620,64,-30.64,152.99,70.0,13.87
santo domingo,40,DO,1569735620,94,18.48,-69.94,81.0,4.99
mount gambier,75,AU,1569735620,67,-37.83,140.78,59.0,14.99
kodiak,90,US,1569735620,93,39.95,-94.76,64.99,10.29
ponta do sol,56,CV,1569735621,86,17.2,-25.09,76.59,15.61
astana,75,KZ,1569735621,74,51.13,71.43,37.4,17.9
fez,0,MA,1569735621,34,34.03,-5.02,66.2,6.93
alyangula,99,AU,1569735622,52,-13.85,136.42,89.6,11.41
arman,100,RU,1569735622,92,59.7,150.17,33.41,10.69
pevek,100,RU,1569735622,97,69.7,170.27,33.03,24.94
sokolka,75,PL,1569735623,100,53.41,23.5,54.0,8.95
curtea,56,RO,1569735623,74,45.83,22.31,58.81,2.13
inirida,88,CO,1569735623,96,3.87,-67.92,73.51,0.89
marawi,0,SD,1569735624,12,18.48,31.82,93.67,15.08
saskylakh,62,RU,1569735624,64,71.97,114.09,31.25,2.75
lagoa,0,PT,1569735624,63,37.14,-8.45,64.0,3.36
dikson,93,RU,1569735624,90,73.51,80.55,31.14,6.71
gallup,1,US,1569735625,51,35.53,-108.74,62.6,12.75
ayutla,98,MX,1569735625,97,20.13,-104.35,62.37,2.42
pingliang,0,CN,1569735625,42,35.54,106.68,68.85,4.88
rocky mountain house,100,CA,1569735626,92,52.38,-114.92,29.23,4.7
araouane,8,ML,1569735626,9,18.9,-3.53,87.82,4.76
mudanjiang,0,CN,1569735626,43,44.58,129.6,69.48,12.82
itoman,75,JP,1569735627,74,26.12,127.67,87.8,12.75
anshun,13,CN,1569735627,61,26.25,105.93,70.85,8.77
forestville,75,CA,1569735627,87,48.74,-69.09,50.0,12.75
vaini,75,TO,1569735688,69,-21.2,-175.2,75.2,9.17
gambela,43,ET,1569735688,72,8.25,34.59,77.51,1.23
ryotsu,75,JP,1569735688,94,38.08,138.43,73.4,3.36
voznesenye,76,RU,1569735688,85,61.02,35.48,45.23,6.51
cape town,75,ZA,1569735613,87,-33.93,18.42,62.01,28.86
svetlogorsk,20,RU,1569735689,59,53.14,59.15,37.4,8.95
